bfenr,grundindeks,antalgrunde,grundid,husnummerid
7947950,1,1,ba815b7b-fa51-4742-9476-c57ed765b816,0a3f507a-81cb-32b8-e044-0003ba298018
10272311,1,1,02e76bfc-53a6-4cd8-8f0c-315033494621,3cae7253-082d-0f90-e044-0003ba298018
10252515,1,1,c516d2c6-4378-4742-ab61-da695c66e8ba,1b231335-6eac-461c-e044-0003ba298018
6014195,1,1,8a12c859-4e19-4459-a107-dfe96d7c5bca,0a3f507a-390a-32b8-e044-0003ba298018
6013226,1,1,d36a6e7b-3804-4b8d-81a0-59d3f082c967,0a3f507a-39a9-32b8-e044-0003ba298018
6017015,1,1,1113f6b6-4640-4001-9b7e-5bd319008dc2,0a3f507a-3a8a-32b8-e044-0003ba298018
6000805,1,1,b6b9f537-a567-490a-84d8-246f64ce42aa,0a3f507a-3b16-32b8-e044-0003ba298018
6014706,2,1,3a8d9069-2eab-484a-9220-78a4aae03520,0a3f507a-3c05-32b8-e044-0003ba298018
6014706,2,2,4fc5863e-f3e0-47ca-a8e8-64f5b7005f32,0a3f507a-3c05-32b8-e044-0003ba298018
6033578,1,1,cdad265a-133e-4adc-95b5-81d87f9f24cc,0a3f507a-3c30-32b8-e044-0003ba298018
6032862,1,1,3f9eebf9-9f14-4238-aba2-96c163c069a6,0a3f507a-3ccd-32b8-e044-0003ba298018
6017260,1,1,3f80a3a1-4ddc-48e5-9f92-433f241cdf93,0a3f507a-3d15-32b8-e044-0003ba298018
6017344,1,1,c478fa63-c80f-448a-8bd4-bc2872976afa,0a3f507a-3dc6-32b8-e044-0003ba298018
6003809,1,1,59c45083-c1b4-4845-bef9-258ba9d8f7e4,0a3f507a-3f09-32b8-e044-0003ba298018
6016929,2,1,050063b7-f306-44fe-94c8-fde141fdc10e,0a3f507a-3f54-32b8-e044-0003ba298018
6016929,2,2,7bf660b0-7a6b-4291-a3aa-9a6e76af2395,0a3f507a-3f54-32b8-e044-0003ba298018
6024950,1,1,acd4a7d2-dd2a-4d85-8ddd-f9efffc0cc12,0a3f507a-3da4-32b8-e044-0003ba298018
6020143,1,1,ce57b731-e32d-410f-8d6d-aed0870ad97f,0a3f507a-3ee0-32b8-e044-0003ba298018
6003878,1,1,3e1eec69-dda7-4200-b703-4e5bed64f3b0,0a3f507a-3f10-32b8-e044-0003ba298018
8197970,1,1,00e836e6-b214-4492-84ae-e1422845cd33,0a3f507a-b3e7-32b8-e044-0003ba298018
6017443,1,1,00ac719f-f067-4038-a3bd-e92fb536e208,0a3f507a-404c-32b8-e044-0003ba298018
6014119,1,1,731a85af-9560-476a-ab02-91b96a401431,0a3f507a-40a0-32b8-e044-0003ba298018
6010793,1,1,7ce35b8c-a1f2-4d27-b2a0-4b283f79171f,0a3f507a-40c9-32b8-e044-0003ba298018
6020535,1,1,da9f4b5a-43c0-4669-8ca1-55b162262dbd,0a3f507a-4186-32b8-e044-0003ba298018
6010329,1,1,6b877f2c-8a4a-4dcf-bcbc-b1076625f6bd,0a3f507a-4249-32b8-e044-0003ba298018
6012536,1,1,ed1dc50e-6344-49a2-abdd-c172197a8825,0a3f507a-42ca-32b8-e044-0003ba298018
6002332,1,1,c7ea4abe-87a4-4ff7-b852-9fe99d17245a,0a3f507a-4337-32b8-e044-0003ba298018
6017442,1,1,90c59c6e-884c-4077-80d9-9de086a114cf,0a3f507a-404d-32b8-e044-0003ba298018
6015060,2,1,4096253f-fcb5-4b11-9d30-a4385554da43,0a3f507a-406d-32b8-e044-0003ba298018
6015060,2,2,5cce85e7-5772-4af9-879a-c904751c00da,0a3f507a-406d-32b8-e044-0003ba298018
8237613,1,1,133ef4ef-4bbb-4f22-bd9c-66bf9d0c8130,0a3f507a-a4ba-32b8-e044-0003ba298018
8221759,1,1,07bd509c-86cc-4eb6-aa4e-db63c057c1fb,0a3f507a-a8c3-32b8-e044-0003ba298018
6020548,1,1,0492f124-1932-45f6-97df-24c8addd46e1,0a3f507a-4173-32b8-e044-0003ba298018
6020529,1,1,82e1d45d-a74e-4ee8-9d4f-ab85f25ff972,0a3f507a-4188-32b8-e044-0003ba298018
8243784,1,1,a091a40f-4c41-442a-9a5f-6d39ff3b8fe5,0a3f507a-bb2f-32b8-e044-0003ba298018
8243789,1,1,dce7e8e5-afc1-47fc-89ee-ad5835414e13,0a3f507a-bb35-32b8-e044-0003ba298018
8257957,2,1,4fecd59a-4a7f-4202-9708-57f6d02a67d4,0a3f507a-687b-32b8-e044-0003ba298018
8257957,2,2,5a75ef6f-6100-4494-9ec3-c576e4df3ae8,0a3f507a-687b-32b8-e044-0003ba298018
6019479,1,1,3a733ba6-5723-4132-be52-b49a24355f8f,0a3f507a-43b8-32b8-e044-0003ba298018
8898615,1,1,65a00e73-4bea-4c69-b246-84042b9b2809,0a3f507a-621d-32b8-e044-0003ba298018
6019774,1,1,e9c4c6e9-0d07-4b2d-a727-2754874fc058,0a3f507a-43c6-32b8-e044-0003ba298018
6020391,1,1,82ed3796-a5e9-445f-99d0-b011155552bc,0a3f507a-43de-32b8-e044-0003ba298018
6014931,3,1,7717e10d-6b15-4af8-a0d5-46f155ed3422,0a3f507a-446a-32b8-e044-0003ba298018
6014931,3,2,78915af1-7ad6-455e-987d-895af84c548b,0a3f507a-446a-32b8-e044-0003ba298018
6014931,3,3,80e605bf-8efc-4641-96ee-f913c5b85981,0a3f507a-446a-32b8-e044-0003ba298018
6019021,1,1,8379c934-ddd5-40c6-ac4a-459164f839a5,0a3f507a-4506-32b8-e044-0003ba298018
6031917,1,1,a0448f8f-a623-4b0a-9ddf-7fc361d60fc4,0a3f507a-4530-32b8-e044-0003ba298018
6016646,1,1,f4267fd2-c8b5-4792-89cc-c25c387a614b,0a3f507a-456d-32b8-e044-0003ba298018
6018572,1,1,9471c176-efec-4b87-9d9e-e93e153e7e0e,0a3f507a-4675-32b8-e044-0003ba298018
6007222,1,1,c8136aa1-2427-48f7-a0eb-65130880b985,0a3f507a-46b7-32b8-e044-0003ba298018
6026108,1,1,2d0f4221-2e50-4193-ba5e-feaccde0bf3a,0a3f507a-4767-32b8-e044-0003ba298018
6025929,2,1,3ba49eb8-1578-4ab5-bd8f-10dda5601edf,0a3f507a-47ce-32b8-e044-0003ba298018
6025929,2,2,85bd962d-935f-4b72-98dc-fc2884ee6729,0a3f507a-47ce-32b8-e044-0003ba298018
6022367,1,1,e2d43340-f9af-41d1-a0cc-7399d2bfe44f,0a3f507a-48af-32b8-e044-0003ba298018
6019451,1,1,916284e9-add3-4132-9f98-348701629d9b,0a3f507a-49f5-32b8-e044-0003ba298018
6031924,1,1,9e1048e7-895b-4adf-b404-b42c54fa46ac,0a3f507a-453c-32b8-e044-0003ba298018
6005012,1,1,e7d178a7-e810-4f02-a32b-3c934ce1422c,0a3f507a-45cf-32b8-e044-0003ba298018
6018685,1,1,9fddf16e-d6af-41fa-b97c-63a1ca6537dc,0a3f507a-469e-32b8-e044-0003ba298018
6007050,1,1,09f06dda-8b7e-4488-9df8-ccf541c9a31d,0a3f507a-46df-32b8-e044-0003ba298018
6026197,3,1,3af8cebd-ea67-4819-80b7-2b6062a3151e,0a3f507a-4758-32b8-e044-0003ba298018
6026197,3,2,a284304a-1c50-4eaf-8519-d5025c1e86c1,0a3f507a-4758-32b8-e044-0003ba298018
6026197,3,3,db1b8146-68ac-40e8-b621-a8bca6e57b2b,0a3f507a-4758-32b8-e044-0003ba298018
6018126,1,1,b1c3e3cc-e59a-453a-a141-369ad0cfb038,0a3f507a-4815-32b8-e044-0003ba298018
6009180,1,1,9f1155a9-d0ca-4d5a-a5ac-210b06ee9002,0a3f507a-4992-32b8-e044-0003ba298018
6005601,1,1,13280e58-32e2-45b7-9cd5-5fe2f801d90d,0a3f507a-4ad1-32b8-e044-0003ba298018
6029309,1,1,c8c91410-e320-4a55-9264-b0531ec6c5a3,0a3f507a-4baa-32b8-e044-0003ba298018
6002418,1,1,09b0ba19-44c4-4504-9fd5-34b39e403feb,0a3f507a-4c74-32b8-e044-0003ba298018
6002550,1,1,afb530aa-23e0-40f3-a842-34f43e60f9d0,0a3f507a-4c90-32b8-e044-0003ba298018
6021976,1,1,a53a9c37-3d47-4b3d-9b0b-26b11f580ebd,0a3f507a-4ca8-32b8-e044-0003ba298018
6006558,2,1,78d409fb-b221-490e-82bf-6209195a4fbd,0a3f507a-4d42-32b8-e044-0003ba298018
6006558,2,2,c64b17e9-de1b-47c5-abb1-a9b3c0d58425,0a3f507a-4d42-32b8-e044-0003ba298018
