bfenr,grundindeks,antalgrunde,grundid,husnummerid,antalbygninger,bygningnr,bygningsid
10070000,1,1,0f7952c9-e0a5-4deb-9943-925716888407,2edda757-902d-1605-e044-0003ba298018,1,1,285ccf44-10ae-429f-8871-222ffc182960
10070014,1,1,68c72796-6291-4d0f-8885-2c3535911935,2edda757-901f-1605-e044-0003ba298018,1,1,194e1c47-64ef-4e7f-bad0-11e88d62d922
10070048,1,1,d416770b-3970-4b2d-9023-dc0550351136,362e6b23-4be3-0f9b-e044-0003ba298018,1,1,f76f3108-8966-46ec-a13b-a1f644577dd6
10100908,1,1,f1911892-b38b-4682-aa22-4be0b8e59a94,0a3f507a-7622-32b8-e044-0003ba298018,1,1,60fe1e27-0d8a-4c86-aa15-ea4224b7fdab
10102350,1,1,01e7e8c0-b09d-40d5-ac24-59f06a599620,3cae7253-0861-0f90-e044-0003ba298018,1,1,84422239-27ac-4770-8eac-4b41bd29a481
7947950,1,1,ba815b7b-fa51-4742-9476-c57ed765b816,0a3f507a-81cb-32b8-e044-0003ba298018,1,1,67021470-152f-4f54-9060-4cee51d7d420
10272311,1,1,02e76bfc-53a6-4cd8-8f0c-315033494621,3cae7253-082d-0f90-e044-0003ba298018,1,1,08e84ddb-32f2-4a63-877c-d239434f6cdc
10252515,1,1,c516d2c6-4378-4742-ab61-da695c66e8ba,1b231335-6eac-461c-e044-0003ba298018,4,1,1a2e4927-e7b3-4986-8551-e08b29742872
10252515,1,1,c516d2c6-4378-4742-ab61-da695c66e8ba,1b231335-6eac-461c-e044-0003ba298018,4,2,30e871c7-f089-43a4-bd53-81acb00e811b
10252515,1,1,c516d2c6-4378-4742-ab61-da695c66e8ba,1b231335-6eac-461c-e044-0003ba298018,4,3,86341da4-57d9-4797-8827-db6b7206e9c5
10252515,1,1,c516d2c6-4378-4742-ab61-da695c66e8ba,1b231335-6eac-461c-e044-0003ba298018,4,4,98be406d-e640-4a6c-9b79-2aafe456d49f
6014195,1,1,8a12c859-4e19-4459-a107-dfe96d7c5bca,0a3f507a-390a-32b8-e044-0003ba298018,1,1,9b36db6d-d536-43ce-831a-3befaf7ab732
6013226,1,1,d36a6e7b-3804-4b8d-81a0-59d3f082c967,0a3f507a-39a9-32b8-e044-0003ba298018,1,1,22972397-89ba-410f-8a53-2904114fa257
6017015,1,1,1113f6b6-4640-4001-9b7e-5bd319008dc2,0a3f507a-3a8a-32b8-e044-0003ba298018,1,1,7ae36e0b-4c03-4c4f-a44f-fbca492a3161
6000805,1,1,b6b9f537-a567-490a-84d8-246f64ce42aa,0a3f507a-3b16-32b8-e044-0003ba298018,1,1,aedc1d2c-6266-46eb-b33a-6519988965de
